Date,Spread
7-24-87,0.22
7-31-87,0
8-7-87,0.27
8-14-87,0.25
8-21-87,0.6
8-28-87,0.22
9-4-87,0.01
9-11-87,0.23
9-18-87,0.49
9-25-87,0.23
10-2-87,0.14
10-9-87,0.31
10-16-87,0.04
10-23-87,0.08
10-30-87,0.11
11-6-87,0.25
11-13-87,0.03
11-20-87,0.2
11-27-87,0
12-4-87,-0.17
12-11-87,-0.09
12-18-87,0.06
12-24-87,0.08
12-31-87,-0.01
1-8-88,0.14
1-15-88,0.08
1-22-88,-0.1
1-29-88,-0.03
2-5-88,0.17
2-12-88,0.1
2-19-88,0.03
2-26-88,0.11
3-4-88,0.16
3-11-88,0.26
3-18-88,0.31
3-25-88,0.28
4-1-88,0.15
4-8-88,0.14
4-15-88,-0.01
4-22-88,0.03
4-29-88,-0.08
5-6-88,0.18
5-13-88,-0.06
5-20-88,-0.02
5-27-88,0.08
6-3-88,0.14
6-10-88,0.05
6-17-88,0.08
6-24-88,0.1
7-1-88,0.28
7-8-88,0.2
7-15-88,-0.11
7-22-88,-0.1
7-29-88,0
8-5-88,-0.09
8-12-88,0
8-19-88,-0.09
8-26-88,-0.04
9-2-88,-0.21
9-9-88,-0.14
9-16-88,-0.06
9-23-88,-0.07
9-30-88,-0.04
10-7-88,-0.25
10-14-88,-0.1
10-21-88,0.03
10-28-88,0.18
11-4-88,0.16
11-11-88,0.02
11-18-88,-0.06
11-25-88,-0.22
12-2-88,-0.15
12-9-88,-0.22
12-16-88,0.02
12-23-88,-0.1
12-30-88,0.02
1-6-89,0.03
1-13-89,0.16
1-20-89,0.19
1-27-89,0.13
2-3-89,0.1
2-10-89,0.17
2-17-89,0.25
2-24-89,0.03
3-3-89,-0.07
3-10-89,-0.22
3-17-89,-0.01
3-23-89,-0.01
3-31-89,-0.22
4-7-89,-0.09
4-14-89,-0.08
4-21-89,-0.07
4-28-89,0.02
5-5-89,0
5-12-89,0.19
5-19-89,0.24
5-26-89,0.27
6-2-89,0.11
6-9-89,0.2
6-16-89,0.01
6-23-89,-0.12
6-30-89,0.14
7-7-89,0.06
7-14-89,-0.26
7-21-89,0.03
7-28-89,0.07
8-4-89,0
8-11-89,0.27
8-18-89,-0.02
8-25-89,0.14
9-1-89,-0.02
9-8-89,-0.1
9-15-89,0.06
9-22-89,-0.15
9-29-89,0.04
10-6-89,-0.09
10-13-89,0.08
10-20-89,0.06
10-27-89,0.05
11-3-89,0.05
11-10-89,-0.09
11-17-89,-0.24
11-22-89,-0.06
12-1-89,-0.04
12-8-89,0.03
12-15-89,0.14
12-22-89,0.04
12-29-89,0.01
1-5-90,0.1
1-12-90,0.28
1-19-90,0.11
1-26-90,-0.14
2-2-90,-0.33
2-9-90,-0.32
2-16-90,-0.11
2-23-90,-0.14
3-2-90,-0.21
3-9-90,-0.14
3-16-90,-0.15
3-23-90,0.13
3-30-90,0.03
4-6-90,0.13
4-12-90,0.1
4-20-90,0.11
4-27-90,-0.09
5-4-90,-0.25
5-11-90,-0.06
5-18-90,0.09
5-25-90,0.1
6-1-90,0.02
6-8-90,0.05
6-15-90,0.18
6-22-90,0
6-29-90,-0.07
7-6-90,-0.1
7-13-90,0.1
7-20-90,0.1
7-27-90,0.28
8-3-90,-0.2
8-10-90,-0.29
8-17-90,-0.41
8-24-90,-0.26
8-31-90,-0.38
9-7-90,-0.16
9-14-90,-0.35
9-21-90,-0.43
9-28-90,-0.28
10-5-90,-0.44
10-12-90,-0.31
10-19-90,-0.54
10-26-90,-0.35
11-2-90,-0.24
11-9-90,-0.28
11-16-90,-0.43
11-21-90,-0.31
11-30-90,-0.23
